名称,获利比例（%）,平均成本（元）,90%集中度（%）,90%成本最低价格（元）,90%成本最高价格（元）,70%集中度（%）,70%成本最低价格（元）,70%成本最高价格（元）
N豪悦,100,82.23,6.16,77.12,87.24,4.09,78.82,85.54
N森麒麟,100,25.04,6.16,23.48,26.57,4.09,24,26.05
N立昂微,100,6.49,6.16,6.09,6.89,4.16,6.22,6.76
金科文化,76.81,4.64,28.08,3.33,5.93,17.03,3.91,5.52
珈伟新能,58.57,5.03,30.96,3.3,6.26,25.06,3.6,6.01
翰宇药业,92.33,8.28,20.51,6.15,9.32,8.5,7.44,8.82
卡倍亿,65.76,69.62,19.21,62.41,92.08,10.52,64.81,80.05
海能实业,94.74,59.15,9,53.34,63.9,5.64,55.19,61.79
锦浪科技,88.66,94.18,29.57,57.61,105.98,15.08,74.72,101.26
金太阳,100,25.97,12.35,21.49,27.54,6.11,23.76,26.85
英飞特,99.75,15.86,14.24,12.92,17.21,9.34,14.03,16.92
阳光电源,100,20.06,35.57,10.74,22.6,25.74,12.87,21.79
恒泰艾普,65.91,6.32,37.17,3.52,7.69,22.52,4.67,7.39
泰胜风能,84.38,6.8,24.65,4.79,7.93,8.43,6.29,7.45
天能重工,100,12.69,17.78,9.81,14.05,12.59,10.54,13.58
南京聚隆,99.84,37.81,9.82,32.67,39.79,4.64,35.54,39
中信博,99.97,92.94,12.18,79.87,102.02,9.25,82.53,99.36
福昕软件,98.32,326.64,7.82,302.68,354.03,4.61,312.95,343.19
固德威,95.85,120.89,9.62,108.47,131.56,6.28,112.94,128.09
富瑞特装,68.8,6.37,24.38,4.88,8.02,12.56,5.78,7.44
开能健康,72.39,5.52,19.99,4.3,6.45,13.1,4.8,6.24
奥特维,97.91,74.01,13.6,60.04,78.94,7.4,66.82,77.5
上能电气,60.95,52.52,8.21,47.8,56.35,6,49.37,55.67
坚瑞沃能,57.75,3.77,47.95,1.73,4.92,22.35,2.92,4.59
金春股份,53.83,54.71,21.21,48.98,75.34,12.36,50.13,64.26
达刚控股,94.43,12.18,17.71,9.37,13.4,10.5,10.59,13.08
捷佳伟创,89.15,86.47,30.19,52.05,97.06,17.26,65.29,92.52
华信新材,77.07,18.12,11.52,16.78,21.16,7.46,17.29,20.08
力星股份,59.01,7.8,17.15,6.17,8.72,10.6,6.88,8.51
欧陆通,62.82,78.27,9.97,72.65,88.74,5.22,74.18,82.35
康跃科技,91.38,14.99,24.94,11.49,19.13,19.01,12.37,18.17
吉药控股,37.34,4.96,28.03,3.44,6.12,19.02,4.06,5.97
东方日升,66.29,16.22,11.01,14.93,18.62,6.94,15.64,17.97
康泰医学,39.14,76.05,17.92,67.39,96.82,12.11,69.12,88.16
英唐智控,32.48,7.8,14.88,6.52,8.8,11.34,6.77,8.51
朗科智能,87.23,14.9,8.42,13.58,16.08,5.84,14.03,15.77
九洲集团,58.56,7.79,9.71,6.86,8.34,6.53,7.21,8.21
通裕重工,67.88,5,31.64,3.19,6.14,21.29,3.83,5.91
润和软件,97.26,13.6,10.42,11.65,14.35,6.64,12.31,14.06
金石亚药,80.91,8.68,17.21,7.39,10.47,12.62,7.89,10.17
鹏翎股份,32.42,5.57,14.12,4.77,6.34,10.28,5.01,6.15
安克创新,58.15,127.29,10.27,117.69,144.63,7.8,119.9,140.2
南风股份,38.75,8.25,25.53,5.56,9.36,19.29,6.11,9.03
利亚德,94,8.06,16.92,6.18,8.69,11.07,6.78,8.46
雪浪环境,53.03,8.54,17.78,6.99,10.01,13.75,7.36,9.7
怡球资源,99.26,2.33,17.05,1.8,2.54,9.01,2.07,2.48
吉鑫科技,99.31,3.25,12.93,2.76,3.58,8.15,2.93,3.45
章源钨业,99.91,5.27,15.72,4.18,5.74,9.02,4.7,5.63
银龙股份,82.38,4.5,10.31,4.02,4.94,4.97,4.26,4.7
海航基础,99.8,7.63,10.07,6.78,8.29,6.24,7.12,8.07
圣济堂,98.09,3.03,10.9,2.78,3.46,8.06,2.85,3.35
佰仁医疗,22.17,100.21,22.04,83.91,131.35,10.45,92.06,113.56
华峰铝业,100,7.34,5.24,6.9,7.66,3.53,7.05,7.57
天际股份,60.74,8.03,17.07,6.46,9.12,13.84,6.65,8.79
电光科技,48.71,11.31,36,7.34,15.61,19.87,9.2,13.76
广东骏亚,100,16.62,6.11,15.24,17.23,2.7,16.14,17.03
晶澳科技,90.17,22.76,25.14,15.42,25.78,7.89,20.55,24.07
大元泵业,92.08,18.41,30.1,14.55,27.08,23.1,15.51,24.83
大金重工,86.58,7.77,26.46,5.41,9.3,18.87,6.1,8.94
福斯特,79.34,58.27,41.18,29.92,71.81,34.19,34.11,69.55
维科技术,95.39,6.71,10.15,5.92,7.25,6.12,6.22,7.03
奥海科技,100,91.87,9.35,81.03,97.74,5.93,86,96.84
超华科技,49.97,8.29,27.07,5.85,10.19,12.66,7.65,9.86
通威股份,85.49,22.53,36.42,12.18,26.14,28.36,13.81,24.74
山东玻纤,100,9.8,9.54,8.09,9.8,0,9.8,9.8
新黄浦,34.45,7.42,22.21,5.19,8.15,17.72,5.54,7.92
冀凯股份,48.13,6.03,17.92,5,7.19,14.15,5.25,6.98
通化东宝,65.52,14.2,14.86,12.83,17.3,10.28,13.52,16.61
中创环保,70.99,7.72,30.82,5.55,10.49,24.15,5.89,9.64
美尔雅,50.77,10.22,19.19,7.73,11.41,6.45,9.79,11.14
天顺风能,47.05,6.9,15.54,5.58,7.64,11.33,5.97,7.49
神工股份,85.59,47.39,15.87,43.71,60.19,5.75,44.58,50.02
巨力索具,95.88,3.27,8.76,2.97,3.54,4.57,3.13,3.43
浩丰科技,64.11,7.13,14.67,5.96,8.01,10.93,6.28,7.83
华仁药业,53.28,5.54,21.44,4.24,6.55,17.16,4.48,6.33
中来股份,68.06,8.41,13.43,7.18,9.4,9.14,7.65,9.19
岱勒新材,50.69,21.09,11.92,19.35,24.58,9.23,19.9,23.95
上机数控,56.74,64.61,15.74,52.78,72.5,8.58,59.23,70.35
福莱特,35.18,22.73,30.41,13.73,25.72,9.79,20.19,24.57
天地数码,58.42,19.23,14.01,16.45,21.81,8.91,17.32,20.7
国药股份,33.3,44.18,11.47,39.53,49.77,8.13,41.02,48.28
中坚科技,62,15.89,16.66,14.16,19.82,12.03,14.82,18.87
双杰电气,29.98,5.82,24.27,4.3,7.06,16.76,4.87,6.83
隆基股份,100,52.83,44.96,25.13,66.19,34,30.67,62.28
中能电气,46.19,6.59,15.91,5.63,7.76,11.87,5.89,7.48
唐源电气,99.97,63.75,6.65,58.4,66.71,4.54,59.88,65.57
博睿数据,31.29,153.07,17.65,123.25,176.1,11.2,134.76,168.77
晶盛机电,99.95,25.47,12.75,21.79,28.16,7.07,23.7,27.31
香雪制药,99.11,11.02,11.38,9.68,12.17,8.7,10.03,11.95
中环股份,35.55,23.35,20.37,17.93,27.1,11.11,20.43,25.54
金丹科技,48.73,100.45,14.42,84.9,113.52,9.18,92.37,111.03
雷曼光电,37.47,9.26,15.08,7.45,10.1,7.48,8.46,9.83
丝路视觉,59.33,24.14,14.4,21.01,28.08,8.87,22.32,26.67
科森科技,86.88,15.03,24.26,10.59,17.38,16.18,11.83,16.4
美晨生态,40.72,3.73,32.58,2.48,4.87,19.45,3.09,4.58
键凯科技,27.71,96.64,18.93,79.16,116.13,13.57,81.16,106.64
嘉诚国际,96.27,29.33,36.64,19.01,40.99,29.15,22.07,40.22
良信电器,70.79,21.27,36.61,12.21,26.32,31.94,13.15,25.5
世纪瑞尔,71.27,5.19,16.02,4.43,6.12,12.46,4.6,5.91
石大胜华,99.53,38.42,24.78,27.21,45.14,12.07,34.41,43.86
嘉寓股份,50.22,3.81,22.39,3.16,4.98,16.72,3.38,4.74
飞亚达,73.06,16.5,35.5,8.91,18.71,16.87,12.86,18.08
木林森,46.12,16.09,13.65,13.53,17.8,5.81,15.36,17.25
兴业科技,85.17,10.86,28.57,8.03,14.44,23.62,8.56,13.86
拓日新能,98.42,4.05,10.7,3.42,4.24,6.63,3.66,4.18
华菱星马,44.69,7.9,14.86,7,9.44,9.56,7.27,8.81
世纪天鸿,35.21,11.35,13.91,9.98,13.2,10.18,10.41,12.77
歌尔股份,77.08,39.65,32.5,22.28,43.74,15.79,31.07,42.72
陇神戎发,61.29,7.08,14.84,6.03,8.13,9.49,6.55,7.92
汉宇集团,63.55,6.16,16.5,5.03,7.01,10.29,5.54,6.81
鲁亿通,98.99,15.4,13.34,12.9,16.88,8.64,13.93,16.56
北京城乡,74.58,18.29,17.42,14.34,20.39,11.23,15.6,19.55
新强联,24.92,58.58,10.24,51.58,63.35,8.03,52.85,62.07
世纪鼎利,58.43,6.09,15.27,5.22,7.1,11.93,5.46,6.93
片仔癀,95.42,193.69,34.11,128.02,260.55,26.12,143.54,245.03
福安药业,46.21,6.37,9.55,5.75,6.97,7.38,5.91,6.86
太空智造,52.19,5.19,18.7,4.22,6.16,13.08,4.57,5.95
山东威达,55.55,9.6,14.56,8.26,11.08,9.77,8.95,10.89
铁汉生态,44.79,3.73,27.7,2.73,4.82,20.7,2.98,4.54
迈为股份,44.74,326.21,33.39,181.55,363.59,16.83,253.07,355.46
上海洗霸,6.38,40.03,26.21,31.22,53.41,15.66,35.1,48.13
广哈通信,46.97,14.22,9.66,12.97,15.74,6.7,13.32,15.23
索通发展,47.34,14.68,17.77,11.53,16.51,7.01,13.75,15.82
韦尔股份,50.57,187.07,16.02,170.04,234.9,9.21,175.72,211.39
诺邦股份,33.27,39.16,20.26,29.12,43.92,13.39,32.47,42.51
璞泰来,61.08,101.07,25.7,68.22,115.42,12.15,85.34,108.94
安达维尔,36.4,17.67,9.83,15.8,19.24,6.64,16.32,18.64
锋尚文化,26.15,147.81,22.42,130.68,206.19,16.84,134.57,189.06
延华智能,76.81,4.61,8.88,4.29,5.13,4.18,4.44,4.83
邦讯技术,19.3,6.9,13.37,5.83,7.63,10.35,6.04,7.44
煌上煌,59.07,26.12,19.66,21.11,31.44,10.97,23.67,29.5
万方发展,82.04,5.21,17.65,4.21,6.02,11.69,4.61,5.83
全信股份,62.41,14.98,18.69,11.52,16.82,10.26,13.01,15.99
嘉必优,79.32,57,12.72,48.36,62.45,8.33,51.31,60.63
杰美特,24.32,51.09,28.06,44.37,79,14.99,45.08,60.98
山东墨龙,99.4,3.75,11.82,3.17,4.02,6.68,3.42,3.91
酒鬼酒,84.31,81.84,16.16,66.39,91.99,13.03,69.28,90.05
大宏立,30.76,46.17,23.7,39.64,64.26,13.39,40.64,53.2
奥福环保,15.14,67.96,14.22,59.77,79.59,9.33,62.79,75.71
万里扬,92.94,9.47,9.65,8.49,10.3,6.85,8.77,10.06
南大环境,23.58,124.14,24.62,106.87,176.67,16.76,109.03,152.92
泽璟制药-U,13.23,101.87,24.11,74.3,121.5,18.25,79.6,115.13
华虹计通,57.39,12.05,14.85,10.21,13.77,9.66,11.11,13.48
维业股份,91.81,11.77,11.73,10.43,13.2,7.3,10.98,12.71
金冠股份,64.03,5.43,17.39,4.55,6.47,12.88,4.75,6.16
合锻智能,91.18,5.67,10.67,4.89,6.05,5.56,5.32,5.94
实丰文化,66.32,21.12,15.39,17.55,23.94,11.13,18.74,23.44
航天机电,61.54,7.71,26.19,5.11,8.74,10.45,6.86,8.46
易事特,60.78,8.13,34.27,5.06,10.34,29.69,5.29,9.75
葵花药业,71.74,16.68,18.35,13.55,19.64,12.32,14.58,18.67
北京文化,97.27,8.57,14.06,7.13,9.47,8.32,7.89,9.32
佐力药业,52.6,7.24,15.55,6.12,8.37,10.85,6.6,8.2
正裕工业,96.5,10.98,24.28,8.25,13.54,19.66,8.68,12.93
柏楚电子,58.01,205.61,22.37,147.56,232.6,14.14,171.27,227.69
大烨智能,45.84,8.18,16.76,6.62,9.28,10.09,7.32,8.96
恺英网络,32.45,5.8,31.39,3.7,7.08,13.32,4.94,6.46
梅安森,72.01,14.82,13.04,12.33,16.03,7.81,13.21,15.45
佳士科技,62.82,8.67,14.34,7.25,9.68,11.03,7.46,9.32
蓝思科技,73.79,31.95,38.46,16.24,36.54,26.35,20.48,35.13
蒙泰高新,36.78,44.74,22.41,38.07,60.06,11.61,38.86,49.06
海目星,47.29,25.85,17.87,23.79,34.15,14.71,24.33,32.72
汉王科技,50.29,20.96,16.7,17.52,24.54,12.53,18.52,23.82
科恒股份,30.75,14.26,10.27,12.32,15.14,6.27,13.21,14.97
湖南投资,99.71,4.14,8,3.68,4.32,6.12,3.76,4.25
敏芯股份,14.25,140.13,20.31,123.31,186.16,13.67,128.62,169.34
朗新科技,99.25,18.57,9.28,16.78,20.21,6.79,17.13,19.63
西安旅游,75.58,10.1,9.85,8.81,10.74,6.26,9.33,10.57
华凯创意,28.97,22.49,14.63,19.69,26.44,9.77,20.58,25.04
鹏辉能源,20.36,17.6,13.32,15.23,19.91,7.62,16.18,18.84
三德科技,53.26,12.14,14.61,9.94,13.34,7.94,11.06,12.97
埃斯顿,82.61,16.38,30.81,10.04,18.98,25.28,10.97,18.4
蓝盾股份,27.89,5.7,21.17,4.46,6.85,15.37,4.85,6.62
圣元环保,29.1,38.63,18.08,33.39,48.13,10.35,34.05,41.91
东方电热,30.75,3.97,21.06,3.36,5.15,15.85,3.52,4.85
坤彩科技,72.57,29.13,20.7,22.17,33.74,15.8,24.01,33.02
长盈精密,44.4,23.96,14.15,19.91,26.47,7.33,22.01,25.5
派克新材,81.01,80.06,10.66,70.36,87.15,5.59,75.58,84.54
安集科技,10.76,360.58,25.51,277.91,468.29,18.28,307.97,445.74
口子窖,77.4,51.25,19.98,39.77,59.62,12.96,44.44,57.67
科拓生物,21.45,80.96,16.78,66.97,93.98,12.55,68.9,88.67
先锋新材,32.01,5.02,16.13,4.34,6,12.55,4.51,5.81
中泰股份,77.72,13.45,20.68,10.5,15.97,12.07,12,15.3
山西汾酒,99.98,152.58,36.76,90.62,195.95,28.03,105.67,187.99
迪威迅,43.88,6.17,20.3,4.88,7.37,14.32,5.31,7.09
青岛中程,39.29,7.6,18.19,5.83,8.42,9.76,6.63,8.07
金雷股份,23.84,25.81,11.62,23.4,29.55,8.26,24.12,28.47
春风动力,96.28,89.17,53.93,37.91,126.66,32.26,57.03,111.36
瑞凌股份,59.17,6.48,18.24,5.2,7.52,13.62,5.58,7.34
蓝盾光电,20.8,50.83,27.55,42.64,75.07,14.02,43.71,57.96
美畅股份,23.1,50.21,26.22,44.6,76.3,14.88,45.72,61.72
蠡湖股份,35.48,14.29,9.49,12.88,15.58,6.77,13.25,15.17
合兴包装,96.86,4.66,23.89,3.52,5.74,16.67,3.95,5.53
帝科股份,16.09,69.42,20.22,58.33,87.9,12.26,60.44,77.34
太阳电缆,98.63,6.45,8.02,5.78,6.79,5.15,6.03,6.68
赞宇科技,65.55,13.09,13.56,10.84,14.24,7.31,11.93,13.82
海达股份,45.24,6.6,15.57,5.37,7.35,10.78,5.77,7.16
恒润股份,71.98,26.7,29.91,15.66,29.02,15.98,20.43,28.2
仕佳光子-U,20.06,27.92,18.04,24.67,35.52,8.94,25.29,30.25
合康新能,55.51,5.11,22.74,4.16,6.61,13.94,4.53,6
凯恩股份,95.6,6.52,7.82,5.97,6.99,5.43,6.17,6.88
设研院,64.56,15.5,11.34,13.48,16.93,8.06,14.11,16.58
日月股份,99.55,19.5,19.47,14.2,21.07,10.11,16.85,20.64
天阳科技,19.32,48.1,25.73,40.57,68.69,12.35,42.16,54.04
洲明科技,84.44,9.47,12.95,8.28,10.75,9.92,8.6,10.5
深华发Ａ,23.27,12.34,18.82,9.51,13.92,8.67,11.3,13.45
正丹股份,61.03,5.43,17.99,4.55,6.55,14.05,4.73,6.28
南京化纤,99.93,6.94,25.29,5.23,8.77,20.24,5.54,8.36
富满电子,53.93,51.62,30.43,32.54,61.01,22.81,37.24,59.25
禾望电气,85.16,8.34,13.92,7.26,9.61,10.4,7.52,9.27
三超新材,20.73,21.85,11.7,19.52,24.69,7.39,20.33,23.57
好想你,39.92,15.6,15.5,12.75,17.43,7.72,14.17,16.54
齐峰新材,99.37,5.91,7.83,5.24,6.13,5.48,5.43,6.06
永清环保,32.07,8.36,30.5,5.09,9.55,25.94,5.41,9.19
田中精机,21.74,24.7,15.56,19.67,26.91,8.58,21.98,26.11
锐奇股份,40.85,7.45,15.57,6.25,8.56,11.91,6.57,8.35
合诚股份,69.55,17.41,13.67,15.03,19.8,10.6,15.37,19.02
华达科技,99.72,18.12,14.08,14.57,19.35,9.72,15.67,19.04
沧州大化,89.52,12.11,18.91,8.83,12.95,8.82,10.65,12.71
科泰电源,44.01,6.58,17.16,5.36,7.58,13.66,5.61,7.39
法兰泰克,78.79,15.44,34.79,9.52,19.67,22.06,11.82,18.51
乐凯新材,16.63,10.87,25,8.21,13.68,20.73,8.53,12.99
妙可蓝多,44.05,38.93,30.02,24.63,45.76,10.3,35.2,43.28
节能风电,64.74,2.95,23.08,2.13,3.4,13.33,2.47,3.23
新疆天业,13.84,6.73,21.52,4.9,7.58,6.28,6.33,7.18
麦克奥迪,48.44,9.7,15.66,8.23,11.29,10.88,8.79,10.94
泰豪科技,44.03,6.6,14.16,5.51,7.33,9.56,5.87,7.1
京运通,95.08,4.72,12.56,3.98,5.12,9,4.2,5.03
吉宏股份,75.08,40.68,34.73,22.91,47.29,26.66,26.33,45.47
云南白药,83.97,106.69,19.53,81.57,121.15,14.05,86.13,114.3
富春环保,75.49,6.77,10.69,5.8,7.19,7.52,6.09,7.08
八亿时空,10.79,72.89,12.09,64.22,81.9,8.01,67.69,79.47
富煌钢构,61.7,8.96,23.23,6.23,10,17.85,6.79,9.75
西部超导,93.11,41.74,21.02,33.18,50.84,15.3,36.03,49.06
明阳智能,33.71,14.8,18.21,11.3,16.33,12.98,12.26,15.92
贵州轮胎,91.6,5.46,18.24,3.96,5.73,12.48,4.41,5.67
达威股份,72.13,14.67,15.78,12.15,16.7,10.9,12.93,16.1
蒙草生态,50.5,4.48,33.93,2.98,6.03,22.23,3.62,5.7
太阳能,44.1,4.56,17.19,3.78,5.35,9.77,4.25,5.17
易成新能,41.26,5.75,16.61,4.98,6.96,12.98,5.23,6.79
鲁银投资,73.45,5.52,17.96,4.35,6.26,6.18,5.2,5.89
八方股份,52.46,165.83,28.31,106.85,191.24,9.99,151.32,184.89
华致酒行,45.99,32.11,10.4,28.89,35.6,8,29.73,34.9
双良节能,87.23,3.14,9.8,2.76,3.36,6.84,2.86,3.28
永利股份,55.82,6.01,18.9,4.64,6.8,10.05,5.37,6.57
科顺股份,37.34,26.15,24.47,18.74,30.88,17.54,20.46,29.16
TCL科技,75.45,6.67,17.8,5.17,7.42,7.64,6.17,7.19
柏堡龙,24.4,8.85,12.96,7.61,9.87,7.1,8.1,9.34
王府井,21.23,57.8,22.7,44.15,70.09,13.22,47.79,62.35
大洋电机,96.47,4.02,8.69,3.52,4.19,5.63,3.69,4.13
海航投资,69.47,3.07,9.41,2.76,3.33,5.78,2.88,3.23
思源电气,22.32,26.01,16.73,20.65,28.94,8.31,23.98,28.33
高测股份,14.59,30.56,18.81,26.47,38.74,12,27.49,34.99
西域旅游,88.5,34.04,9.09,30.64,36.77,5.37,32,35.63
未名医药,20.58,21.19,20.25,17.77,26.79,15.2,18.23,24.77
大豪科技,99.77,9.07,21.49,7.33,11.34,18.38,7.65,11.09
回盛生物,21.01,51.14,19.82,44.85,67.02,8.07,46.05,54.14
林洋能源,39.36,7.26,25.17,5.11,8.55,19.63,5.55,8.26
幸福蓝海,62.84,8.19,17.93,6.8,9.77,12.83,7.35,9.52
上海凯宝,56.71,5.98,13.23,5.22,6.81,9.78,5.46,6.64
金龙汽车,97.45,6.2,6.75,5.73,6.56,3.63,5.98,6.43
金达威,13.62,46.03,29.5,31.02,56.97,15.24,39.15,53.22
惠发食品,81.54,16.14,18.31,14.09,20.4,14.23,14.38,19.15
新天然气,7.2,30.26,27.38,25.73,45.13,22.67,27.02,42.87
信隆健康,24.96,8.7,31.31,5.47,10.47,14.31,7.61,10.15
先惠技术,19.17,59.74,15.4,51.95,70.86,10.13,53.06,65.02
山河药辅,56.84,26.7,17.02,21.41,30.19,8.4,24.63,29.15
三生国健,9.41,38.67,21.59,31.9,49.47,15.86,34.46,47.45
华夏航空,92.6,12.25,16.43,10.16,14.15,11.05,11.06,13.8
天奈科技,14.28,46.32,20.79,38.4,58.57,14.02,40.7,53.97
东方嘉盛,87.16,25.52,8.97,23.36,27.96,6.34,24.01,27.26
报 喜 鸟,98.71,3.37,8.6,3.03,3.6,4.89,3.21,3.54
国立科技,33.81,10.42,13.54,9.34,12.26,10.01,9.68,11.83
高盟新材,44.46,11.74,15.06,9.67,13.1,9.8,10.38,12.63
科沃斯,92.99,37.83,27.93,23.9,42.42,16.58,28.84,40.3
C龙利得,50.86,23.71,24.09,19.36,31.65,15.66,20.73,28.43
英威腾,94.56,5.42,10.41,4.66,5.74,3.67,5.19,5.58
康希诺-U,86.38,295.09,17.24,256.87,363.88,8.42,266.05,314.96
新化股份,87.87,27.53,5.43,25.92,28.9,2.72,26.61,28.1
金固股份,89.05,6.96,16.16,5.43,7.52,10.77,5.95,7.38
微芯生物,27.39,62.05,22.64,46.55,73.81,17.74,47.09,67.39
江龙船艇,23.06,20.14,15.45,16.9,23.08,9.88,18.01,21.96
振静股份,9.62,14.36,9.65,12.73,15.46,6.33,13.41,15.23
秀强股份,18.67,9.25,16.35,7.35,10.22,11.9,7.87,10
名家汇,39.99,6.21,16.22,5.27,7.31,12.54,5.54,7.13
数据港,15.74,86.97,27.13,62.23,108.56,16.37,71.22,99.11
金诚信,76.84,11.62,19.9,8.93,13.37,12.18,9.7,12.39
南方轴承,83.32,7.12,12.75,6.09,7.86,8.66,6.38,7.59
东方电缆,43.08,22.5,30.24,13.54,25.28,22.92,15.25,24.32
常山药业,53.09,7.57,18.18,5.76,8.31,10.33,6.57,8.09
浙商中拓,96.08,6.55,19.55,4.98,7.4,15.4,5.27,7.19
炬华科技,73.07,10.42,13.71,8.68,11.44,6.49,9.74,11.09
龙源技术,60.61,5.01,20.06,3.99,6,15.2,4.26,5.79
凯撒旅业,29.3,16.21,30.69,10.17,19.17,12.17,14.24,18.19
万顺新材,54.85,6.09,14.92,5.16,6.97,10.12,5.55,6.8
大庆华科,41.75,13.92,19.85,12.21,18.25,11.34,12.98,16.29
安科瑞,78.48,13.61,22.68,10.63,16.87,19.48,10.97,16.29
盛弘股份,22.83,23.39,10.01,21.4,26.16,6.66,21.83,24.95
巴安水务,41.54,5.41,17.18,4.44,6.29,11.87,4.81,6.11
三盛教育,30.3,7,15.24,6,8.15,12.24,6.23,7.97
西陇科学,6.88,7.97,13.17,7.07,9.21,7.92,7.55,8.85
运达股份,28.37,14.46,10.79,12.55,15.59,6.99,13.23,15.22
盛路通信,99.08,7.9,6.66,7.18,8.21,3.96,7.49,8.11
双一科技,39.49,39.31,14.82,32.34,43.59,6.4,37.09,42.16
复旦张江,8.54,30.47,26.22,23.18,39.65,14.05,25.61,33.98
创世纪,24.42,10.73,20.48,7.95,12.05,8.55,9.78,11.61
维康药业,20.97,66.46,21.73,56.91,88.5,10.23,58.01,71.23
齐心集团,18.03,16.37,10.86,14.54,18.08,6.75,15.05,17.23
长电科技,17.13,41.83,16.5,34.55,48.2,13.03,35.68,46.38
拓普集团,77.48,33.35,42.74,16.92,42.18,30.61,21.65,40.75
南宁糖业,57.5,7.23,13.15,6.31,8.21,9.89,6.62,8.07
华海药业,68.35,35.68,30.92,22.82,43.24,23.75,24.9,40.4
科思股份,38.38,90.39,8.37,83.26,98.47,6.28,85.16,96.57
立讯精密,76.96,52.87,31.69,30.23,58.29,23.56,35.19,56.88
分众传媒,78.19,6.04,30.04,4.13,7.68,22.13,4.75,7.45
中金环境,46.55,3.96,21.11,3.27,5.03,15.55,3.48,4.76
嘉元科技,16.86,53.95,15.87,48.53,66.83,11.53,50.05,63.1
深南电A,19.34,18.16,26.35,11.9,20.41,19.93,13.21,19.79
汇纳科技,8.77,41.16,13.05,35.22,45.79,10.26,36.53,44.88
利德曼,65.83,6.94,13.89,5.77,7.63,6.91,6.46,7.42
名臣健康,97.12,40.01,19.52,29.22,43.4,8.35,35.99,42.55
新产业,13.75,158.5,10.65,143.53,177.75,6.39,148.88,169.2
铂力特,22.27,95.87,25.84,65.58,111.28,15.67,77.39,106.14
金城医药,10.11,34.97,18.69,27.76,40.51,11.15,30.78,38.5
爱旭股份,27.66,13.9,33.29,8.05,16.08,15.1,11.29,15.31
金利华电,56.16,17.1,12.17,14.99,19.15,7.39,15.84,18.37
金风科技,29.02,11.04,13.53,9.73,12.78,10.62,10.07,12.46
九洲药业,70.58,30.34,27.46,20.28,35.64,21.61,22.19,34.42
景峰医药,8.1,5.66,18.42,5.1,7.4,10.2,5.38,6.6
金辰股份,60.85,33.33,17.86,25.65,36.81,12.13,27.82,35.5
哈尔斯,84.54,6.08,15.53,4.83,6.61,10.67,5.22,6.46
仙琚制药,89.1,15.71,11.47,13.8,17.37,6.64,14.5,16.56
长亮科技,75.65,22.85,13.2,18.82,24.54,6.42,21.16,24.06
亿通科技,47.46,7.78,15.5,6.67,9.12,11.44,6.97,8.77
*ST中新,85.01,2.5,20,2.14,3.21,16.19,2.2,3.05
*ST当代,79.75,1.51,15.23,1.28,1.74,11.1,1.32,1.65
翔鹭钨业,61.32,10.85,12.21,9.48,12.12,6.91,10.15,11.66
建科机械,14.98,39.73,12.72,35.02,45.22,9.09,36.12,43.34
迪森股份,40.54,5.92,17.49,4.83,6.88,12.38,5.23,6.71
友讯达,51.69,12.44,11.84,10.82,13.73,8.12,11.4,13.42
美盛文化,28.08,7.23,24.73,5.67,9.4,14.94,6.18,8.35
依米康,35.42,7.26,14.65,6.37,8.55,11.68,6.58,8.32
龙溪股份,39.7,12.34,10.48,10.85,13.39,5.96,11.5,12.95
川环科技,45.95,10.27,16.33,8.06,11.2,9.81,9.02,10.98
*ST华塑,78.31,1.84,39.36,1.07,2.47,27.12,1.33,2.33
*ST天娱,77.97,3.2,35.85,1.99,4.2,30.4,2.19,4.1
正元智慧,41.82,16.39,11.4,14.5,18.24,7.01,15.43,17.76
ST康美,100,2.68,18.24,2.42,3.5,13.61,2.52,3.32
*ST美讯,15.96,7.1,18.15,5.63,8.13,10.77,6.16,7.65
双环传动,88.02,6.37,18.38,4.99,7.23,15.22,5.19,7.05
*ST力帆,99,4.57,18.63,3.5,5.1,8.8,4.15,4.95
昇兴股份,60.51,5.76,9.53,5.22,6.32,7.25,5.37,6.21
芯原股份-U,10.26,116.5,24.87,92.92,154.45,16.7,97.52,136.62
茶花股份,84.77,9.23,10.22,8.19,10.06,7.61,8.46,9.86
鼎龙股份,18.75,18.27,22.4,13.13,20.72,9.97,16.06,19.61
ST南风,77.82,3.23,19.01,2.62,3.85,15.99,2.68,3.7
盛视科技,13.44,96.2,12.99,86.29,112.05,9.87,88.27,107.59
扬帆新材,44.86,10.67,12.81,9.48,12.27,9.45,9.88,11.94
超图软件,6.95,23.9,13.02,21.28,27.65,4.72,23.13,25.42
华谊嘉信,29.31,3.76,33.26,2.44,4.88,21.3,3.02,4.66
海南海药,76.64,10.02,21.08,7.19,11.03,10.91,8.67,10.79
姚记科技,7.86,36.39,17.34,30.08,42.7,5.8,34.13,38.34
中电兴发,35.43,11.41,8.54,10.32,12.25,4.94,10.78,11.9
万兴科技,20.92,71.97,9.94,63.71,77.78,7.32,65.85,76.25
蓝英装备,13.8,25.16,20.06,20.57,30.9,15.52,21.34,29.18
古越龙山,16.37,9.8,14.74,8.14,10.95,5.99,9.08,10.24
ST创兴,48.28,4.9,21.53,3.52,5.45,16,3.77,5.2
ST罗普,99.43,4.35,11.42,4.11,5.17,7.13,4.17,4.81
华瑞股份,42.82,10.36,11.03,9.24,11.54,6.39,9.69,11.01
