名称,获利比例（%）,平均成本（元）,90%集中度（%）,90%成本最低价格（元）,90%成本最高价格（元）,70%集中度（%）,70%成本最低价格（元）,70%成本最高价格（元）
天铁股份,46.09,15.46,21.06,10.78,16.53,16.89,11.51,16.19
德尔股份,42.11,28.59,12.28,24.33,31.15,7.97,25.8,30.27
*ST胜尔,35.78,2.65,26.15,2.1,3.59,12.08,2.25,2.87
中国中免,69.41,196.12,50.41,74.39,225.64,41.77,89.14,217.03
骆驼股份,47.36,7.79,14.43,6.62,8.85,10.94,6.9,8.59
瑞尔特,31.43,6.76,9.54,5.92,7.17,6.6,6.15,7.02
海康威视,54.39,35.73,17.57,27.73,39.55,13.8,29.16,38.5
宁波精达,52.33,9.01,16.42,7.39,10.3,10.55,8.07,9.98
金圆股份,12.88,9.46,9.82,8.88,10.81,7.15,9.1,10.5
沃尔核材,14.86,5.71,14.61,4.63,6.21,8.01,5.19,6.09
北京君正,2.77,91.57,16.96,84.35,118.81,7.74,87.96,102.73
金新农,4.65,11.07,13.22,9.11,11.88,8.08,9.96,11.71
浙江众成,18.61,6.79,8.1,6.25,7.35,5.04,6.42,7.11
依顿电子,0.77,10.12,8.66,9.41,11.2,5.56,9.64,10.77
交运股份,21.02,5.61,19.51,4.19,6.23,8.81,5,5.97
金财互联,2.76,12.24,13.84,10.64,14.05,9.1,11.04,13.25
测绘股份,6.44,38.9,5.94,36.23,40.81,3.45,37.38,40.05
上海亚虹,64.74,12.78,13.33,10.52,13.76,9.19,11.14,13.4
航天长峰,1.75,18.07,11.29,16.14,20.25,7.11,16.78,19.35
科大国创,17.67,22.18,12.96,18.21,23.64,5.58,20.72,23.17
集泰股份,11.35,11.75,12.69,10.16,13.12,9.31,10.62,12.8
浙江东方,11.3,7.13,13.39,6.31,8.26,8.88,6.67,7.97
南华仪器,4.43,18.95,8.31,17.41,20.57,4.75,18.09,19.89
宝明科技,2.15,36.31,15.05,31.74,42.98,8.41,33.5,39.65
神宇股份,6.06,34.64,10.56,30.08,37.19,4.8,32.54,35.82
市北高新,3.17,9.49,14.35,8.09,10.8,9.76,8.49,10.33
广州酒家,65.49,33.99,21.57,28.97,44.9,16.9,31.19,43.87
威奥股份,2.43,20.65,8.31,18.91,22.33,4.34,19.98,21.79
永悦科技,1.34,9.29,15.98,8.06,11.13,9.26,8.59,10.34
南极电商,35.83,19.02,23.71,13.72,22.25,9.05,17.25,20.68
*ST宏图,64.14,1.28,24.57,1.09,1.8,12.74,1.13,1.46
*ST仁智,1.56,2.88,14.38,2.68,3.58,9.72,2.74,3.33
力生制药,24.32,26.8,10.51,23.7,29.26,8.02,24.43,28.68
中原证券,15.36,5.89,14.59,4.73,6.34,7.7,5.31,6.2
隆利科技,12.51,27.27,7.76,24.83,29.01,5.52,25.54,28.53
天沃科技,11.33,4.29,8.65,3.96,4.71,6,4.07,4.59
长青股份,3.91,8.5,5.84,8.08,9.09,3.23,8.29,8.85
中公教育,67.64,31.45,22.79,23.17,36.85,13.69,27.31,35.97
永新光学,19.57,43.11,12.71,36.1,46.61,6.1,39.99,45.19
重药控股,21.35,5.87,13.35,5.08,6.64,9.58,5.27,6.39
中化国际,37.02,5.6,10.82,4.82,5.99,8.46,4.98,5.9
宁波富达,30.84,4.2,13.13,3.57,4.64,8.22,3.84,4.53
*ST联络,25.59,1.41,18.33,1.28,1.85,6.51,1.32,1.5
百川能源,36.4,5.53,8.76,5.01,5.97,6.08,5.11,5.77
中炬高新,57.67,64.92,27.97,45.29,80.45,22.72,47.34,75.18
人民网,3.16,20.65,9.42,19.18,23.17,6.77,19.69,22.54
威创股份,18.45,7.52,16.29,6.08,8.44,10.25,6.65,8.17
元成股份,95.03,7.68,7.32,7.07,8.18,5.13,7.26,8.04
桂东电力,39.4,4.14,12.76,3.74,4.83,9.02,3.9,4.68
中国银河,29.55,13.21,25.02,9.49,15.82,20.23,9.86,14.86
利群股份,52.61,6.79,16.64,5.69,7.97,13.09,5.99,7.79
长缆科技,11.83,17.47,7.66,15.94,18.59,4.57,16.64,18.24
圆通速递,36.53,15.5,22.47,11.24,17.76,13.26,13.01,16.99
科信技术,13.27,16.07,9.04,14.59,17.49,5.74,15.21,17.06
天舟文化,11.71,5.98,10.8,5.33,6.62,7.45,5.55,6.45
龙大肉食,28.52,11.8,29.53,8.06,14.82,17.31,9.99,14.18
茂业商业,6.12,4.66,14.45,3.91,5.23,8.02,4.3,5.05
宝莫股份,2.34,5.91,9.38,5.6,6.76,4.58,5.71,6.25
电工合金,54.62,17.93,10.17,15.72,19.28,6.7,16.53,18.9
招商南油,32.89,2.83,9.65,2.48,3.01,5.53,2.65,2.96
星星科技,39.43,8.55,16.45,6.77,9.44,11.05,7.38,9.22
*ST同洲,32.26,1.43,30.37,1.26,2.36,7.68,1.32,1.54
小康股份,12.24,8.94,13.31,8.12,10.61,5.48,8.43,9.41
远达环保,57.99,5.51,11.21,4.83,6.05,9.65,4.91,5.96
宇环数控,7.34,15.14,8.72,13.86,16.51,5.37,14.29,15.91
华媒控股,9.41,4.53,7.81,4.13,4.83,5.09,4.29,4.75
达 意 隆,14.64,7.3,16.3,6.46,8.97,5.63,7.03,7.86
中科曙光,11.36,44.69,14.27,37.89,50.5,8.21,39.88,47.01
山大华特,7.91,31.59,13.73,26.41,34.81,7.32,28.9,33.46
科达制造,26.81,4.45,7.97,4.04,4.74,5.79,4.15,4.66
ST长投,39.05,9.13,34.9,5.42,11.23,28.06,5.93,10.55
上海莱士,14.91,9.41,13.09,8.09,10.53,9.45,8.47,10.24
博彦科技,17.67,10.6,9.48,9.2,11.12,5.54,9.81,10.96
绿庭投资,1.77,7.84,12.89,7.3,9.46,8.31,7.45,8.8
庄园牧场,6.2,12.54,8.61,11.3,13.44,5.95,11.71,13.19
粤泰股份,12.09,2.97,11.67,2.8,3.54,4.81,2.87,3.16
白银有色,13.08,3.23,15.99,2.68,3.7,10.39,2.89,3.56
长江传媒,74.47,5.54,7.89,5.02,5.88,6.51,5.1,5.81
青青稞酒,22.21,10.83,12.06,9.18,11.7,7.63,9.79,11.41
国检集团,48.16,20.18,26.86,14.04,24.35,22.35,14.81,23.33
燕京啤酒,45.64,7.24,14.92,5.94,8.03,11.14,6.2,7.75
睿能科技,4.98,14.09,11.59,12.96,16.35,9.97,13.1,16
快意电梯,34.56,7.43,9.24,6.56,7.89,6.12,6.87,7.76
洪都航空,29.14,34.61,29.67,21.72,40.04,17.77,26.69,38.23
泸天化,21.58,4.6,10.56,4.15,5.13,8.19,4.26,5.02
*ST利源,41.66,1.48,11.61,1.37,1.73,7.28,1.4,1.62
中核科技,13.68,14.94,19.81,11.72,17.51,10.28,13.18,16.2
通策医疗,75.21,160.72,33.91,108.54,219.93,22.82,125.6,199.86
易尚展示,19.17,23.93,11.72,22.38,28.33,3.07,23.15,24.62
安徽建工,22.53,4.64,16.02,3.71,5.13,11.17,3.98,4.98
涪陵榨菜,73.49,39.13,24.49,30.98,51.07,17.7,33.76,48.28
三圣股份,56.24,7.18,12.49,6.28,8.07,10.11,6.45,7.9
华西证券,12.12,12.8,14.1,10.42,13.85,5.76,11.91,13.37
山东海化,17.57,4.74,16.3,3.69,5.12,7.04,4.36,5.02
人民同泰,7.07,8.15,10,7.34,8.97,6.26,7.59,8.6
赣锋锂业,5.17,54.38,15.35,47.09,64.17,9.33,49.82,60.07
钧达股份,55.61,16.05,12.43,13.62,17.49,9.39,14.26,17.22
京投发展,54.61,4.35,12.31,3.88,4.96,9.19,3.96,4.76
ST景谷,54.84,20.63,6.62,19.35,22.09,3.53,19.96,21.42
小商品城,26.48,6.6,22.49,4.92,7.78,17.24,5.31,7.53
中利集团,32.76,6.04,15.28,5.56,7.57,4.84,5.72,6.3
万里石,57.19,22.07,17.68,17.62,25.18,8.2,20.31,23.94
软控股份,59.49,4.41,9.2,3.9,4.69,6.6,4.03,4.6
外高桥,37.89,15.54,10.12,13.84,16.95,8.15,13.97,16.45
安井食品,82.33,121.39,36.53,84.64,182.08,28.02,96.6,171.82
科瑞技术,3.02,26.69,10.25,24.16,29.68,7.86,24.92,29.17
ST天圣,81.49,5.72,8.02,5.33,6.26,5.19,5.48,6.08
大众公用,22.09,4.93,13.03,4.19,5.44,9.78,4.37,5.32
中国国贸,44.41,13.56,7.15,12.68,14.63,4.82,12.99,14.3
浙江医药,7.91,18.55,11.11,16.26,20.33,5.96,17.23,19.41
航天工程,39.5,12.26,11.37,10.73,13.48,9.48,10.91,13.2
伟明环保,37.07,23.16,8.69,21.6,25.71,6.81,21.9,25.11
上海电力,46.68,7.59,6.74,7.1,8.13,4.51,7.25,7.94
四川长虹,31.62,3.12,10.86,2.71,3.37,6.62,2.89,3.3
通用股份,26.03,6.44,7.76,5.75,6.72,5.37,5.96,6.64
综艺股份,33.64,6.49,19.05,4.87,7.16,11.29,5.49,6.89
哈空调,55.18,4.52,8,4.08,4.79,6.16,4.19,4.74
长安汽车,98.7,11.4,14.9,9.87,13.33,9.09,10.51,12.61
乔治白,74.24,5.79,9.63,5.26,6.38,7.01,5.43,6.25
亚翔集成,0.96,16.99,9.93,15.8,19.29,7.92,16.12,18.89
亚星锚链,5.8,6.97,10.4,6.07,7.48,5.09,6.65,7.37
ST山水,30.05,9.54,9.28,8.86,10.68,5.73,9.01,10.11
苏宁易购,23.52,10.37,17.08,8.66,12.22,12.37,8.89,11.4
*ST勤上,16.66,1.61,27.47,1.48,2.59,21.06,1.53,2.34
博通股份,15.26,25.81,10.01,23.17,28.33,3.93,24.62,26.63
青岛双星,26.16,4.99,16.36,4.07,5.67,9.41,4.33,5.23
中国卫通,4.45,23.25,12.13,20.2,25.77,7.68,21.63,25.23
理邦仪器,12.62,22.7,16.62,18.05,25.24,8.45,20.37,24.14
祥鑫科技,4.71,39.17,9.22,35.77,43.04,6.13,36.7,41.49
西藏城投,20.16,6.91,15.51,5.64,7.71,10.62,6.07,7.52
广电网络,9.45,8.51,9.11,7.62,9.14,5.32,7.98,8.88
两面针,13.07,4.93,7.82,4.46,5.22,4.43,4.69,5.12
塞力斯,69.49,16.76,9.93,14.52,17.73,6.64,15.29,17.46
京能电力,69.92,3.02,10.4,2.67,3.29,7.74,2.74,3.2
嘉欣丝绸,12.84,6.67,9.86,5.86,7.14,5.19,6.3,7
雪迪龙,18.87,6.57,8.89,5.94,7.1,6.24,6.1,6.91
萃华珠宝,8.3,8.37,8.84,7.71,9.21,5.85,8.03,9.02
天正电气,4.52,15.75,15.04,14.16,19.17,7.88,14.65,17.16
合肥城建,3.9,13.63,15.16,11.11,15.08,9.99,11.93,14.57
汉缆股份,5.9,5.18,12.25,4.71,6.03,8.01,4.85,5.7
中衡设计,27.12,13.57,19.86,10.32,15.44,16.38,10.9,15.17
宁水集团,33.39,32.85,12.39,29.12,37.35,9.56,30.11,36.48
ST中安,17.84,1.66,14.6,1.55,2.08,9.71,1.58,1.92
濮耐股份,67.22,4.67,9.39,4.15,5.01,6.8,4.25,4.87
宏大爆破,37.17,51.19,37.77,28.24,62.52,25.76,34.8,58.94
星网宇达,6.82,45.02,14.9,37.88,51.15,9.9,39.92,48.7
山东黄金,30.61,28.37,12.19,25.19,32.18,8.05,25.92,30.46
*ST辉丰,68.9,2.97,25.3,2.1,3.52,14.12,2.52,3.34
东旭蓝天,21.39,3.3,8.18,3.03,3.57,4.55,3.15,3.45
华通医药,10.59,11.67,7.97,11.01,12.92,4.7,11.24,12.35
仁和药业,12.34,6.7,11.63,6.02,7.61,3.94,6.44,6.96
合力科技,6.46,11.91,5.87,11.11,12.5,3.53,11.49,12.33
千方科技,8.43,24.3,9.5,22.21,26.88,6.49,22.8,25.97
*ST东电,95.44,1.46,15.11,1.18,1.6,6.57,1.35,1.54
新晨科技,36.79,13.18,13.61,11.17,14.69,7.75,12.16,14.2
慧辰资讯,2.85,59.52,16.49,51.9,72.39,9.17,56.66,68.1
读者传媒,44.07,6.5,8.94,5.72,6.85,6.53,5.94,6.77
白云山,10.45,33.85,10.35,30.15,37.12,7.86,30.91,36.18
振江股份,59.51,31.41,17.76,24.48,35.06,13.18,25.89,33.75
